Date,GBP_Rate,EUR_Rate,GBP_7DMA,EUR_7DMA,GBP_EUR_Ratio
2018-12-03,89.645,80.079,90.12628571,80.79784286,1.119457036
2018-12-04,89.4458,79.8366,90.22121429,80.97808571,1.120360837
2018-12-05,90.2953,80.5457,90.38337143,81.2104,1.121044326
2018-12-06,90.1212,80.2245,90.36948571,81.28554286,1.123362564
2018-12-07,90.9108,81.5738,90.33544286,81.36138571,1.11446077
2018-12-10,90.4266,81.7325,90.02577143,81.11017143,1.106372618
2018-12-11,90.0393,81.5928,89.79988571,80.8705,1.103520164
2018-12-12,90.3095,81.3407,89.60878571,80.67334286,1.110262144
2018-12-13,90.5809,81.4628,89.40328571,80.46501429,1.111929617
2018-12-14,90.1981,81.0717,89.17145714,80.23027143,1.112571958
2018-12-17,89.8829,80.7554,88.99785714,80.08035714,1.113026497
2018-12-18,88.7431,79.8153,88.82264286,79.99822857,1.111855747
2018-12-19,88.8454,80.0548,88.79488571,79.99325714,1.109807282
2018-12-20,88.7016,80.2127,88.81337143,79.97585714,1.105829875
2018-12-21,88.871,79.8824,88.83115714,79.94025714,1.112522909
2018-12-24,88.9581,79.8196,88.7461,79.94574286,1.114489424
2018-12-26,88.9829,80.0223,88.64635714,79.9095,1.111976287
2018-12-27,88.6564,80.1805,88.59084286,79.81902857,1.105710241
2018-12-28,88.5488,79.7805,88.70047143,79.81575714,1.109905303
2018-12-31,88.9748,79.933,88.86822857,79.94852857,1.113117236
2019-01-01,88.8261,79.9635,89.03834286,80.17124286,1.110833068
2019-01-02,88.2756,79.9208,89.19397143,80.34907143,1.104538493
2019-01-03,88.2599,79.5659,89.57802857,80.53851429,1.109267915
2019-01-04,88.5943,79.389,90.05864286,80.8155,1.115951832
2019-01-07,89.4238,80.1576,90.4683,81.07081429,1.115599768
2019-01-08,89.7231,80.7099,90.81655714,81.22805714,1.111674033
2019-01-09,90.1656,81.492,91.18391429,81.27887143,1.106434987
2019-01-10,89.9155,81.2083,91.43044286,81.24155714,1.107220567
2019-01-11,90.964,81.2469,91.71341429,81.21805714,1.11959964
2019-01-14,91.6242,81.5048,91.89094286,81.17412857,1.124157105
2019-01-15,91.4619,81.1762,92.10828571,81.11791429,1.126708321
2019-01-16,91.8616,81.2583,92.36224286,81.02111429,1.130488824
2019-01-17,92.2946,81.0656,92.64235714,81.00538571,1.138517448
2019-01-18,91.8913,81.2308,92.82102857,81.04144286,1.131237166
2019-01-21,91.8963,81.0438,93.02037143,81.08532857,1.133909071
2019-01-22,92.2067,80.9394,93.21208571,81.17672857,1.139206616
2019-01-23,93.1456,81.1113,93.34942857,81.23431429,1.148367737
2019-01-24,93.2396,80.4986,93.42958571,81.36122857,1.158276045
2019-01-25,93.8224,81.1482,93.4757,81.57781429,1.156185843
2019-01-28,93.5453,81.318,93.31372857,81.63465714,1.150364003
2019-01-29,93.2867,81.538,93.15694286,81.61814286,1.144088646
2019-01-30,93.2383,81.6836,93.01507143,81.51705714,1.141456792
2019-01-31,93.1681,81.3425,92.84125714,81.36057143,1.145380336
2019-02-01,93.7067,81.9997,92.56895714,81.17248571,1.142768815
2019-02-04,93.5624,82.0147,92.20124286,80.88104286,1.140800369
2019-02-05,92.6886,81.5461,91.87505714,80.59274286,1.136640502
2019-02-06,92.4478,81.2024,91.66612857,80.43141429,1.138486055
2019-02-07,92.2936,80.8304,91.64057143,80.3756,1.14181793
2019-02-08,92.0216,80.5882,91.73108571,80.35804286,1.141874369
2019-02-11,91.262,80.0259,91.83104286,80.36262857,1.140405794
2019-02-12,91.1327,79.9596,92.05462857,80.46647143,1.139734316
2019-02-13,91.2791,79.9966,92.30435714,80.55835714,1.141037244
2019-02-14,91.2261,80.4168,92.60154286,80.66557143,1.134415943
2019-02-15,92.2689,80.8117,93.02855714,80.74414286,1.1417765
2019-02-18,92.9272,80.7075,93.37615714,80.76804286,1.151407242
2019-02-20,92.7213,80.6203,93.54181429,80.76927143,1.150098672
2019-02-21,92.8271,80.7528,93.59847143,80.70342857,1.14952175
2019-02-22,92.8808,80.6028,93.58312857,80.56245714,1.152327214
2019-02-25,93.3594,80.7471,93.49408571,80.35777143,1.156195083
2019-02-26,94.2152,80.9668,93.27065714,80.04337143,1.163627561
2019-02-27,94.7021,80.979,92.78157143,79.70111429,1.169464923
2019-02-28,94.0868,80.7161,92.37718571,79.32362857,1.165650967
2019-03-01,93.1179,80.1594,91.95814286,79.01717143,1.161659144
2019-03-05,92.7197,79.766,91.83958571,78.82891429,1.162396259
2019-03-06,92.2575,79.17,91.68587143,78.62474286,1.165308829
2019-03-07,91.7954,78.5463,91.52314286,78.42655714,1.168678856
2019-03-08,90.7916,78.571,91.4105,78.32258571,1.155535757
2019-03-11,91.8714,78.3366,91.48092857,78.26167143,1.172777476
2019-03-12,91.1535,78.5709,91.25327143,78.23312857,1.160143259
2019-03-13,92.288,78.8416,91.21321429,78.14778571,1.170549558
2019-03-14,91.6437,78.3368,90.99688571,78.00845714,1.169867802
2019-03-15,91.1184,77.7827,90.88711429,77.90378571,1.17144815
2019-03-18,91.0069,77.8185,90.8742,77.89008571,1.16947641
2019-03-19,91.2846,78.1446,90.7983,77.8735,1.168149815
2019-03-20,90.2778,78.1368,90.68272857,77.81032857,1.155381331
2019-03-22,90.8731,77.9735,90.67331429,77.7119,1.165435693
2019-03-25,90.7737,77.8663,90.5515,77.55568571,1.165763623
2019-03-26,90.8753,77.6041,90.55061429,77.48732857,1.171011583
2019-03-27,91.028,77.6868,90.51634286,77.50555714,1.17173059
2019-03-28,90.4756,77.7024,90.48097143,77.55605714,1.164386171
2019-03-29,90.4756,77.7024,90.54928571,77.6432,1.164386171
2019-04-01,90.2119,77.4478,90.53561429,77.67314286,1.164809071
2019-04-02,90.0204,76.88,90.5448,77.72262857,1.170920916
